"","Well","Well.Name","Well.Type","Replicate","Threshold..dRn.","Ct..dRn.","Quantity..copies.","RSq..dRn.","Slope..dRn.","filename"
"1","A1","01_3E4_3uL_  Qty or ID","Standard",1,0.1427,"24.92","3.00e+004",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"2","A2","01_3E4_3uL_  Qty or ID","Standard",1,0.1427,"25.01","3.00e+004",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"3","A3","01_3E4_3uL_  Qty or ID","Standard",1,0.1427,"25.06","3.00e+004",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"4","B1","02_3E3_3uL_  Qty or ID","Standard",2,0.1427,"28.75","3.00e+003",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"5","B2","02_3E3_3uL_  Qty or ID","Standard",2,0.1427,"28.84","3.00e+003",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"6","B3","02_3E3_3uL_  Qty or ID","Standard",2,0.1427,"28.43","3.00e+003",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"7","C1","03_3E2_3uL_  Qty or ID","Standard",3,0.1427,"31.82","3.00e+002",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"8","C2","03_3E2_3uL_  Qty or ID","Standard",3,0.1427,"31.97","3.00e+002",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"9","C3","03_3E2_3uL_  Qty or ID","Standard",3,0.1427,"32.04","3.00e+002",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
"10","D1","04_3E1_3uL_  Qty or ID","Standard",4,0.1427,"35.84","3.00e+001",0.99,-3.432,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920 - Text Report Data"
