"","Well","Well.Name","Well.Type","Replicate","Threshold..dRn.","Ct..dRn.","Quantity..copies.","RSq..dRn.","Slope..dRn.","filename"
"1","A1","01_3E4_3uL_  Qty or ID","Standard",1,0.1317,"24.61","3.00e+004",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"2","A2","01_3E4_3uL_  Qty or ID","Standard",1,0.1317,"24.71","3.00e+004",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"3","A3","01_3E4_3uL_  Qty or ID","Standard",1,0.1317,"24.68","3.00e+004",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"4","B1","02_3E3_3uL_  Qty or ID","Standard",2,0.1317,"28.41","3.00e+003",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"5","B2","02_3E3_3uL_  Qty or ID","Standard",2,0.1317,"28.18","3.00e+003",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"6","B3","02_3E3_3uL_  Qty or ID","Standard",2,0.1317,"28.24","3.00e+003",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"7","C1","03_3E2_3uL_  Qty or ID","Standard",3,0.1317,"31.74","3.00e+002",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"8","C2","03_3E2_3uL_  Qty or ID","Standard",3,0.1317,"31.98","3.00e+002",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"9","C3","03_3E2_3uL_  Qty or ID","Standard",3,0.1317,"31.65","3.00e+002",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"10","D1","04_3E1_3uL_  Qty or ID","Standard",4,0.1317,"35.45","3.00e+001",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
"11","D2","04_3E1_3uL_  Qty or ID","Standard",4,0.1317,"36.19","3.00e+001",0.997,-3.604,"qPCR0898_NorskFiskeeDNA_AssID00_Esoluc_plate03_mxpro_qpcrrundate20210927 - Text Report Data"
