"","Well","Well.Name","Well.Type","Replicate","Threshold..dRn.","Ct..dRn.","Quantity..copies.","RSq..dRn.","Slope..dRn.","filename"
"1","A1","01_3E4_3uL_  Qty or ID","Standard",1,427.562,"22.35","3.00e+004",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"2","A2","01_3E4_3uL_  Qty or ID","Standard",1,427.562,"22.80","3.00e+004",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"3","A3","01_3E4_3uL_  Qty or ID","Standard",1,427.562,"22.94","3.00e+004",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"4","B1","02_3E3_3uL_  Qty or ID","Standard",2,427.562,"26.43","3.00e+003",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"5","B2","02_3E3_3uL_  Qty or ID","Standard",2,427.562,"25.74","3.00e+003",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"6","B3","02_3E3_3uL_  Qty or ID","Standard",2,427.562,"26.50","3.00e+003",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"7","C1","03_3E2_3uL_  Qty or ID","Standard",3,427.562,"29.02","3.00e+002",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"8","C2","03_3E2_3uL_  Qty or ID","Standard",3,427.562,"28.49","3.00e+002",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"9","C3","03_3E2_3uL_  Qty or ID","Standard",3,427.562,"29.42","3.00e+002",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"10","D1","04_3E1_3uL_  Qty or ID","Standard",4,427.562,"33.13","3.00e+001",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
"11","D2","04_3E1_3uL_  Qty or ID","Standard",4,427.562,"32.75","3.00e+001",0.983,-3.264,"qPCR0896_NorskFiskeeDNA_AssID00_Esoluc_plate01_mxpro_qpcrrundate20210920_TextReportData"
