"","Well","Well.Name","Well.Type","Replicate","Threshold..dRn.","Ct..dRn.","Quantity..copies.","RSq..dRn.","Slope..dRn.","filename"
"1","A1","01_3E4_3uL_  Qty or ID","Standard",1,0.2167,"25.82","3.00e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"2","A2","01_3E4_3uL_  Qty or ID","Standard",1,0.2167,"25.95","3.00e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"3","A3","01_3E4_3uL_  Qty or ID","Standard",1,0.2167,"25.77","3.00e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"4","B1","02_3E3_3uL_  Qty or ID","Standard",2,0.2167,"29.74","3.00e+003",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"5","B2","02_3E3_3uL_  Qty or ID","Standard",2,0.2167,"29.67","3.00e+003",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"6","B3","02_3E3_3uL_  Qty or ID","Standard",2,0.2167,"29.47","3.00e+003",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"7","C1","03_3E2_3uL_  Qty or ID","Standard",3,0.2167,"32.78","3.00e+002",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"8","C2","03_3E2_3uL_  Qty or ID","Standard",3,0.2167,"32.97","3.00e+002",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"9","C3","03_3E2_3uL_  Qty or ID","Standard",3,0.2167,"32.95","3.00e+002",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"10","D1","04_3E1_3uL_  Qty or ID","Standard",4,0.2167,"36.87","3.00e+001",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"11","D2","04_3E1_3uL_  Qty or ID","Standard",4,0.2167,"36.28","3.00e+001",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"12","D3","04_3E1_3uL_  Qty or ID","Standard",4,0.2167,"36.54","3.00e+001",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"13","E1","05_3E0_3uL_  Qty or ID","Standard",5,0.2167,"39.66","3.00e+000",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"14","E2","05_3E0_3uL_  Qty or ID","Standard",5,0.2167,"41.04","3.00e+000",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"15","E3","05_3E0_3uL_  Qty or ID","Standard",5,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"16","F1","06_3E-1_3uL_  Qty or ID","Standard",6,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"17","F2","06_3E-1_3uL_  Qty or ID","Standard",6,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"18","F3","06_3E-1_3uL_  Qty or ID","Standard",6,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"19","G1","07_3E-2_3uL_  Qty or ID","Standard",7,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"20","G2","07_3E-2_3uL_  Qty or ID","Standard",7,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"21","G3","07_3E-2_3uL_  Qty or ID","Standard",7,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"22","H1","08_NTC_3uL_  Qty or ID","NTC",8,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"23","H2","08_NTC_3uL_  Qty or ID","NTC",8,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"24","H3","08_NTC_3uL_  Qty or ID","NTC",8,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"25","A4","09_FNE009_3uL_  Qty or ID","Unknown",9,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"26","A5","09_FNE009_3uL_  Qty or ID","Unknown",9,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"27","A6","09_FNE009_3uL_  Qty or ID","Unknown",9,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"28","B4","10_FNE010_3uL_  Qty or ID","Unknown",10,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"29","B5","10_FNE010_3uL_  Qty or ID","Unknown",10,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"30","B6","10_FNE010_3uL_  Qty or ID","Unknown",10,0.2167,"40.94","1.89",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"31","C4","11_FNE011_3uL_  Qty or ID","Unknown",11,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"32","C5","11_FNE011_3uL_  Qty or ID","Unknown",11,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"33","C6","11_FNE011_3uL_  Qty or ID","Unknown",11,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"34","D4","12_FNE012_3uL_  Qty or ID","Unknown",12,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"35","D5","12_FNE012_3uL_  Qty or ID","Unknown",12,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"36","D6","12_FNE012_3uL_  Qty or ID","Unknown",12,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"37","E4","13_FNE013_3uL_  Qty or ID","Unknown",13,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"38","E5","13_FNE013_3uL_  Qty or ID","Unknown",13,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"39","E6","13_FNE013_3uL_  Qty or ID","Unknown",13,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"40","F4","14_FNE014_3uL_  Qty or ID","Unknown",14,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"41","F5","14_FNE014_3uL_  Qty or ID","Unknown",14,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"42","F6","14_FNE014_3uL_  Qty or ID","Unknown",14,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"43","G4","15_FNE015_3uL_  Qty or ID","Unknown",15,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"44","G5","15_FNE015_3uL_  Qty or ID","Unknown",15,0.2167,"46.64","4.860e-002",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"45","G6","15_FNE015_3uL_  Qty or ID","Unknown",15,0.2167,"No Ct","No Ct",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"46","H4","16_FNE016_3uL_  Qty or ID","Unknown",16,0.2167,"24.22","8.688e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"47","H5","16_FNE016_3uL_  Qty or ID","Unknown",16,0.2167,"24.82","5.901e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"48","H6","16_FNE016_3uL_  Qty or ID","Unknown",16,0.2167,"24.90","5.639e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"49","A7","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"24.94","5.464e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"50","A8","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"24.99","5.298e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"51","A9","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"25.16","4.768e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"52","A10","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"24.94","5.485e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"53","A11","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"25.19","4.673e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"54","A12","17_FNE017_3uL_  Qty or ID","Unknown",17,0.2167,"25.16","4.772e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"55","B7","18_FNE018_3uL_  Qty or ID","Unknown",18,0.2167,"24.35","7.983e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"56","B8","18_FNE018_3uL_  Qty or ID","Unknown",18,0.2167,"24.63","6.700e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"57","B9","18_FNE018_3uL_  Qty or ID","Unknown",18,0.2167,"25.43","3.993e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
"58","B10","18_FNE018_3uL_  Qty or ID","Unknown",18,0.2167,"25.45","3.958e+004",0.996,-3.585,"qPCR0897_NorskFiskeeDNA_AssID00_Esoluc_plate02_mxpro_qpcrrundate20210920_TextReportData"
